Year Make Model,Nickname,Ordinal,Year,Make,Model,Car Division,Spec,PI,Class
1969 Chevrolet Camaro Super Sport Coupe,Chev. Camaro '69,289,1969,Chevrolet,Camaro Super Sport Coupe,Vintage Muscle,Factory,333,D
1990 Vauxhall Lotus Carlton,Vaux Carlton '90,291,1990,Vauxhall,Lotus Carlton,Sport Touring Classics,Factory,499,C
2003 Porsche Carrera GT,P.CarreraGT '03,292,2003,Porsche,Carrera GT,Exotic GT Classics,Factory,750,S
2003 Toyota Celica Sport Specialty II,Toyota Celica 03,295,2003,Toyota,Celica Sport Specialty II,Early Sport Compact,Factory,329,D
2003 Ferrari 360 Challenge Stradale,Ferrari 360 CC,297,2003,Ferrari,360 Challenge Stradale,Sport GT Icons,Factory,644,A
1970 Chevrolet Chevelle Super Sport 454,Chev Chevelle 70,299,1970,Chevrolet,Chevelle Super Sport 454,Street Drag Racers,Factory,383,D
2004 Honda Civic Type R,Honda Civic '04,302,2004,Honda,Civic Type R,Modern Hot Hatch,Factory,379,D
1965 Shelby Cobra 427 S/C,Shelby Cobra 427,306,1965,Shelby,Cobra 427 S/C,Vintage Le Mans Sportscars,Factory,543,B
1995 Volkswagen Corrado VR6,VW Corrado '95,309,1995,Volkswagen,Corrado VR6,Hot Hatch Icons,Factory,340,D
1967 Chevrolet Corvette Stingray 427,Chev. C3 427 '67,312,1967,Chevrolet,Corvette Stingray 427,Vintage Muscle,Factory,405,C
2002 Chevrolet Corvette Z06,Chev. C4 Z06 '02,314,2002,Chevrolet,Corvette Z06,Sport GT Icons,Factory,599,B
1970 Chevrolet Corvette ZR-1,Chev. ZR-1 '70,315,1970,Chevrolet,Corvette ZR-1,Vintage Muscle,Factory,386,D
1988 Lamborghini Countach LP5000 QV,L. Countach '88,316,1988,Lamborghini,Countach LP5000 QV,Exotic GT Classics,Factory,588,B
1991 Honda CR-X SiR,Honda CR-X '91,320,1991,Honda,CR-X SiR,Hot Hatch Icons,Factory,305,D
1992 Lancia Delta HF Integrale EVO,Lancia Delta '92,323,1992,Lancia,Delta HF Integrale EVO,Hot Hatch Icons,Factory,309,D
1999 Lamborghini Diablo GTR,L. Diablo GTR 99,324,1999,Lamborghini,Diablo GTR,Early Factory Racecars,Factory,748,S
1997 Lamborghini Diablo SV,L. Diablo SV '97,325,1997,Lamborghini,Diablo SV,Exotic GT Classics,Factory,653,A
1969 Ferrari Dino 246 GT,Ferrari Dino 246,326,1969,Ferrari,Dino 246 GT,Vintage Exotic GT,Factory,311,D
1995 Mitsubishi Eclipse GSX,Mit. Eclipse '95,327,1995,Mitsubishi,Eclipse GSX,Early Sport Compact,Factory,352,D
1971 Lotus Elan Sprint,Lotus Elan '71,330,1971,Lotus,Elan Sprint,Vintage Sport Compact,Factory,272,E
2002 Ferrari Enzo Ferrari,Ferrari Enzo '02,333,2002,Ferrari,Enzo Ferrari,Exotic GT Classics,Factory,787,S
2002 Lotus Esprit V8,Lotus Esprit '02,335,2002,Lotus,Esprit V8,Sport GT Icons,Factory,579,B
1961 Jaguar E-type,Jag. E-Type,336,1961,Jaguar,E-type,Vintage Le Mans Sportscars,Factory,304,D
1997 McLaren F1 GT,McL. F1 GT '97,338,1997,McLaren,F1 GT,Early Factory Racecars,Factory,787,S
1987 Ferrari F40,Ferrari F40 '87,340,1987,Ferrari,F40,Exotic GT Classics,Factory,699,A
1995 Ferrari F50,Ferrari F50 '95,342,1995,Ferrari,F50,Exotic GT Classics,Factory,683,A
1969 Nissan Fairlady Z 432,Nissan Z 432 '69,343,1969,Nissan,Fairlady Z 432,Vintage Sport Compact,Factory,277,E
2003 Nissan Fairlady Z,Nissan Z '03,344,2003,Nissan,Fairlady Z,Early Sport Compact,Factory,424,C
1994 Nissan Fairlady Z Version S Twin Turbo,Nissan Z '94,345,1994,Nissan,Fairlady Z Version S Twin Turbo,Sport GT Icons,Factory,398,D
2005 Ford Ford GT,Ford GT '05,348,2005,Ford,Ford GT,Modern Sport GT,Factory,642,A
1998 Mitsubishi FTO GP Version R,Mit. FTO '98,349,1998,Mitsubishi,FTO GP Version R,Early Sport Compact,Factory,355,D
2003 Infiniti G35 Coupe,Infiniti G35 '03,350,2003,Infiniti,G35 Coupe,Sport Touring Classics,Factory,415,C
1992 Volkswagen Golf Gti 16v Mk2,VW GTI Mk2 '92,353,1992,Volkswagen,Golf Gti 16v Mk2,Hot Hatch Icons,Factory,286,E
2003 Volkswagen Golf R32 ,VW Golf R32 '03,354,2003,Volkswagen,Golf R32 ,Modern Hot Hatch,Factory,395,D
1997 Mitsubishi GTO,Mit. GTO '97,357,1997,Mitsubishi,GTO,Early Sport Compact,Factory,451,C
1984 Ferrari 288 GTO,Ferrari 288 GTO,358,1984,Ferrari,288 GTO,Sport GT Icons,Factory,569,B
1998 SUBARU Impreza 22B-STi Version,SUBARU 22B '98,363,1998,SUBARU,Impreza 22B-STi Version,Early Sport Compact,Factory,511,B
2004 SUBARU IMPREZA WRX STI,SUBARU WRX '04,364,2004,SUBARU,IMPREZA WRX STI,Early Sport Compact,Factory,490,C
2005 SUBARU IMPREZA WRX STi,SUBARU WRX '05,365,2005,SUBARU,IMPREZA WRX STi,Modern Sport Compact,Factory,503,B
2001 Acura Integra Type R,Acura ITR '01,368,2001,Acura,Integra Type R,Early Sport Compact,Factory,338,D
2006 Mitsubishi Lancer Evolution IX MR,Mit. Evo IX '06,374,2006,Mitsubishi,Lancer Evolution IX MR,Modern Sport Compact,Factory,490,C
1999 Mitsubishi Lancer Evolution VI GSR,Mit. Evo VI '99,375,1999,Mitsubishi,Lancer Evolution VI GSR,Early Sport Compact,Factory,496,C
2004 Mitsubishi Lancer Evolution VIII MR,Mit. Evo VIII 04,378,2004,Mitsubishi,Lancer Evolution VIII MR,Early Sport Compact,Factory,496,C
1997 BMW M3,BMW M3 '97,382,1997,BMW,M3,Sport Touring Classics,Factory,485,C
2005 BMW M3,BMW M3 '05,383,2005,BMW,M3,Sport Touring Classics,Factory,504,B
2004 Maserati MC12,Mas. MC12 '04,391,2004,Maserati,MC12,Exotic GT Classics,Factory,759,S
2005 Vauxhall Monaro VXR,Vauxhall Monaro,397,2005,Vauxhall,Monaro VXR,Modern Muscle,Factory,696,B
1995 Toyota MR2 GT,Toyota MR2 '95,398,1995,Toyota,MR2 GT,Early Sport Compact,Factory,375,D
2000 Ford SVT Cobra R,Ford Cobra R '00,405,2000,Ford,SVT Cobra R,Sport Touring Classics,Factory,533,B
2005 Honda NSX-R,Honda NSX-R '05,411,2005,Honda,NSX-R,Sport GT Icons,Factory,524,B
1992 Honda NSX-R,Honda NSX-R '92,412,1992,Honda,NSX-R,Sport GT Icons,Factory,502,B
1970 Buick GSX,Buick GSX '70,417,1970,Buick,GSX,Street Drag Racers,Factory,377,D
2006 Audi RS 4,Audi RS 4 '06,419,2006,Audi,RS 4,Sport Touring Classics,Factory,564,B
2003 Audi RS 6,Audi RS 6 '03,420,2003,Audi,RS 6,Sport Touring Classics,Factory,537,B
2002 Acura RSX Type-S,Acura RSX,422,2002,Acura,RSX Type-S,Retro Hot Hatch,Factory,585,C
1990 Mazda Savanna RX-7,Mazda RX-7 '90,423,1990,Mazda,Savanna RX-7,Early Sport Compact,Factory,334,D
1997 Mazda RX-7,Mazda RX-7 '97,424,1997,Mazda,RX-7,Early Sport Compact,Factory,462,C
2002 Mazda RX-7 Spirit R Type-A,Mazda RX-7 '02,425,2002,Mazda,RX-7 Spirit R Type-A,Early Sport Compact,Factory,519,B
2004 Audi S4,Audi S4 '04,428,2004,Audi,S4,Sport Touring Classics,Factory,467,C
2004 Saleen S7,Saleen S7 '04,432,2004,Saleen,S7,Exotic GT Classics,Factory,753,S
2005 TVR Sagaris,TVR Sagaris,433,2005,TVR,Sagaris,Retro Sports Cars,Factory,779,A
1992 Nissan Silvia CLUB K's,Nissan Silvia 92,439,1992,Nissan,Silvia CLUB K's,Early Sport Compact,Factory,339,D
1994 Nissan Silvia K's,Nissan Silvia 94,440,1994,Nissan,Silvia K's,Early Sport Compact,Factory,381,D
2000 Nissan Silvia Spec-R,Nissan Silvia 0,441,2000,Nissan,Silvia Spec-R,Early Sport Compact,Factory,399,D
1993 Nissan Skyline GT-R V-Spec,Nissan GT-R '93,444,1993,Nissan,Skyline GT-R V-Spec,Sport GT Icons,Factory,505,B
2002 Nissan Skyline GT-R V-Spec II,Nissan GT-R '02,445,2002,Nissan,Skyline GT-R V-Spec II,Sport GT Icons,Factory,535,B
2003 Renault Sport Clio V6,Ren. Clio '03,453,2003,Renault,Sport Clio V6,Modern Hot Hatch,Factory,384,D
1985 Toyota Sprinter Trueno GT Apex,Toyota AE86 '85,455,1985,Toyota,Sprinter Trueno GT Apex,Hot Hatch Icons,Factory,270,E
1996 Dodge Stealth R/T Turbo,Dodge Stealth 96,457,1996,Dodge,Stealth R/T Turbo,Early Sport Compact,Factory,449,C
1992 Toyota Supra 2.0 GT,Toyota Supra '92,460,1992,Toyota,Supra 2.0 GT,Early Sport Compact,Factory,327,D
1998 Toyota Supra RZ,Toyota Supra '98,461,1998,Toyota,Supra RZ,Sport GT Icons,Factory,470,C
1998 Eagle Talon TSi Turbo,Eagle Talon,462,1998,Eagle,Talon TSi Turbo,Early Sport Compact,Factory,320,D
2001 Aston Martin V12 Vanquish,AM Vanquish '01,479,2001,Aston Martin,V12 Vanquish,Exotic GT Classics,Factory,542,B
1999 Dodge Viper GTS ACR,Dodge Viper '99,483,1999,Dodge,Viper GTS ACR,Sport GT Icons,Factory,602,A
1993 Jaguar XJ220,Jag. XJ220 '93,489,1993,Jaguar,XJ220,Exotic GT Classics,Factory,700,A
2003 Bentley #7 Team Bentley Speed 8,Bentley #7 Spd 8,498,2003,Bentley,#7 Team Bentley Speed 8,Early LMP,Race,941,P
1999 BMW #15 BMW Motorsport V12 LMR,BMW #15 V12 LMR,505,1999,BMW,#15 BMW Motorsport V12 LMR,Early LMP,Race,953,P
1969 Dodge Charger R/T,Dodge Charger 69,513,1969,Dodge,Charger R/T,Vintage Muscle,Factory,376,D
1998 Ferrari #12 Risi Competizione F333 SP,Ferrari #12 F333,524,1998,Ferrari,#12 Risi Competizione F333 SP,Early LMP,Race,935,P
1987 Porsche #17 Porsche AG 962c,Porsche #17 962C,540,1987,Porsche,#17 Porsche AG 962c,GTP/C,Race,971,P
1993 Peugeot #3 Peugeot Talbot Sport 905 EVO 1C,Peugeot #3 905C,550,1993,Peugeot,#3 Peugeot Talbot Sport 905 EVO 1C,GTP/C,Race,973,P
1999 Toyota #3 Toyota Motorsports GT-ONE TS020,Toyota #3 TS020,555,1999,Toyota,#3 Toyota Motorsports GT-ONE TS020,Early LMP,Race,943,P
2002 BMW M3-GTR,BMW M3 '02,565,2002,BMW,M3-GTR,Sport Touring Classics,Factory,571,B
1998 Nissan R390 (GT1),Nissan R390 '98,567,1998,Nissan,R390 (GT1),Exotic GT Classics,Factory,796,S
1998 Mercedes-Benz AMG CLK GTR,MB CLK GTR '98,568,1998,Mercedes-Benz,AMG CLK GTR,Early Factory Racecars,Factory,759,S
1984 Audi Sport quattro,Audi quattro '84,633,1984,Audi,Sport quattro,Sport Touring Classics,Factory,464,C
1980 Renault 5 Turbo,Ren. 5 Turbo '80,634,1980,Renault,5 Turbo,Hot Hatch Icons,Factory,316,D
1967 Lamborghini Miura P400,L. Miura '67,637,1967,Lamborghini,Miura P400,Vintage Exotic GT,Factory,402,C
1970 Dodge Challenger R/T,D. Challenger 70,639,1970,Dodge,Challenger R/T,Street Drag Racers,Factory,395,D
1997 Porsche 911 GT1 Strassenversion,P. 911 GT1 '97,641,1997,Porsche,911 GT1 Strassenversion,Early Factory Racecars,Factory,773,S
1991 BMW M3,BMW M3 '91,642,1991,BMW,M3,Sport Touring Classics,Factory,357,D
1973 Pontiac Firebird Trans Am SD-455,Pontiac T/A '73,1005,1973,Pontiac,Firebird Trans Am SD-455,Vintage Muscle,Factory,358,D
2008 Mitsubishi Lancer Evolution X GSR,Mit. Evo X '08,1009,2008,Mitsubishi,Lancer Evolution X GSR,Modern Sport Compact,Factory,496,C
2008 BMW M3,BMW M3 '08,1011,2008,BMW,M3,Modern Sport Touring,Factory,545,B
1996 Ferrari F50 GT,Ferrari F50 GT,1020,1996,Ferrari,F50 GT,Early Factory Racecars,Race,913,P
2007 Ferrari 430 Scuderia,Ferrari 430 S,1022,2007,Ferrari,430 Scuderia,Modern Sport GT,Factory,707,S
1989 Ferrari F40 Competizione,Ferrari F40 Comp,1023,1989,Ferrari,F40 Competizione,Early Factory Racecars,Race,874,R
2007 Alfa Romeo 8C Competizione,Alfa Romeo 8C,1032,2007,Alfa Romeo,8C Competizione,GT Cars,Factory,755,A
1990 Chevrolet Camaro IROC-Z,Chev. Camaro '90,1033,1990,Chevrolet,Camaro IROC-Z,Sport Touring Classics,Factory,367,D
1994 Toyota Celica GT-Four ST205,Toyota Celica 94,1034,1994,Toyota,Celica GT-Four ST205,Early Sport Compact,Factory,368,D
1981 BMW M1,BMW M1 '81,1040,1981,BMW,M1,Sport GT Icons,Factory,416,C
1993 Ford SVT Cobra R,Ford Cobra R '93,1041,1993,Ford,SVT Cobra R,Sport Touring Classics,Factory,374,D
1971 Nissan Skyline 2000GT-R,Nissan GT-R '71,1042,1971,Nissan,Skyline 2000GT-R,Vintage Sport Compact,Factory,279,E
1997 Nissan Skyline GT-R V-Spec,Nissan GT-R '97,1043,1997,Nissan,Skyline GT-R V-Spec,Sport GT Icons,Factory,485,C
1987 Pontiac Firebird Trans Am GTA,Pontiac T/A '87,1045,1987,Pontiac,Firebird Trans Am GTA,Sport Touring Classics,Factory,319,D
2008 Dodge Viper SRT10 ACR,Dodge Viper '08,1046,2008,Dodge,Viper SRT10 ACR,Modern Sport GT,Factory,737,S
2008 BMW Z4 M Coupe,BMW Z4 '08,1059,2008,BMW,Z4 M Coupe,Modern Sports Cars,Factory,694,B
2008 SUBARU IMPREZA WRX STI,SUBARU WRX '08,1060,2008,SUBARU,IMPREZA WRX STI,Modern Sport Compact,Factory,476,C
1969 Dodge Charger Daytona HEMI,Charger Daytona,1063,1969,Dodge,Charger Daytona HEMI,Vintage Muscle,Factory,392,D
1979 Chevrolet Camaro Z28,Chevy Camaro '79,1064,1979,Chevrolet,Camaro Z28,Classic Muscle,Factory,466,D
2002 Pontiac Firebird Trans Am Ram Air,Pontiac T/A '02,1065,2002,Pontiac,Firebird Trans Am Ram Air,Sport Touring Classics,Factory,444,C
2009 Chevrolet Corvette ZR1,Chev. C6 ZR1 '09,1069,2009,Chevrolet,Corvette ZR1,Modern Sport GT,Factory,707,S
2008 Aston Martin DBS,AM DBS '08,1081,2008,Aston Martin,DBS,Modern Sport GT,Factory,603,A
2009 Ford Focus RS,Ford Focus '09,1086,2009,Ford,Focus RS,Modern Hot Hatch,Factory,485,C
2009 Mercedes-Benz SL 65 AMG Black Series,MB SL 65 '09,1090,2009,Mercedes-Benz,SL 65 AMG Black Series,Modern Sport GT,Factory,684,A
1960 Chevrolet Corvette,Corvette '60,1093,1960,Chevrolet,Corvette,Classic Sports Cars,Factory,541,C
1970 Datsun 510,Datsun 510 '70,1104,1970,Datsun,510,Vintage Sport Compact,Factory,223,E
1964 Aston Martin DB5,AM DB5 '64,1105,1964,Aston Martin,DB5,Sport Coupe Icons,Factory,282,E
1994 Mazda MX-5 Miata,Mazda MX-5 '94,1110,1994,Mazda,MX-5 Miata,Early Sport Compact,Factory,287,E
2010 Audi R8 Coupé 5.2 FSI quattro,Audi R8 5.2,1117,2010,Audi,R8 Coupé 5.2 FSI quattro,Modern Sport GT,Factory,680,A
1980 Abarth Fiat 131,Abarth 131,1124,1980,Abarth,Fiat 131,Classic Rally,Factory,510,C
2008 Lamborghini Revénton,Lambo Revénton,1125,2008,Lamborghini,Revénton,Modern Exotic GT,Factory,719,S
2009 BMW M5,BMW M5 '09,1126,2009,BMW,M5,Modern Sport Touring,Factory,719,A
2011 McLaren 12C Coupe,McLaren 12C,1130,2011,McLaren,12C Coupe,Modern Super Cars,Factory,854,S1
2009 Ferrari 458 Italia,Ferrari 458,1131,2009,Ferrari,458 Italia,Modern Sport GT,Factory,727,S
1965 Alfa Romeo Giulia Sprint GTA Stradale,AR GTA '65,1150,1965,Alfa Romeo,Giulia Sprint GTA Stradale,Vintage Sport Compact,Factory,263,E
1957 Ferrari 250 Testa Rossa,Ferrari 250 TR,1154,1957,Ferrari,250 Testa Rossa,Vintage Le Mans Sportscars,Factory,559,B
1965 Shelby Cobra Daytona Coupe,Shelby Daytona,1155,1965,Shelby,Cobra Daytona Coupe,Vintage Le Mans Sportscars,Factory,619,A
2010 Ferrari 599XX,Ferrari 599XX,1171,2010,Ferrari,599XX,Modern Factory Racecars,Race,836,R
2010 Lamborghini Murciélago LP 670-4 SV,Lambo Murcielago,1173,2010,Lamborghini,Murciélago LP 670-4 SV,Modern Exotic GT,Factory,755,S
2010 Aston Martin One-77,AM One-77,1181,2010,Aston Martin,One-77,Super GT,Factory,843,S1
2009 Audi RS 6,Audi RS 6 '09,1184,2009,Audi,RS 6,Super Saloons,Factory,722,A
2011 Mercedes-Benz SLS AMG,MB SLS AMG '11,1202,2011,Mercedes-Benz,SLS AMG,Modern Sport GT,Factory,688,A
2011 Audi RS 3 Sportback,Audi RS 3 '11,1216,2011,Audi,RS 3 Sportback,Modern Hot Hatch,Factory,470,C
2010 BMW M6 Coupé,BMW M6 '10,1217,2010,BMW,M6 Coupé,Sport Luxury,Factory,594,B
1992 Bugatti EB110 Super Sport,Bugatti EB110 92,1219,1992,Bugatti,EB110 Super Sport,Exotic GT Classics,Factory,697,A
2010 Audi TT RS Coupe,Audi TT RS,1220,2010,Audi,TT RS Coupe,Modern Sports Cars,Factory,707,A
2008 Mazda Furai,Mazda Furai,1229,2008,Mazda,Furai,Modern Factory Racecars,Factory,931,P
2010 Volkswagen Golf R,VW Golf '10,1231,2010,Volkswagen,Golf R,Super Hot Hatch,Factory,645,B
2010 Lexus LFA,Lexus LFA '10,1260,2010,Lexus,LFA,Modern Sport GT,Factory,697,A
1971 AMC Javelin AMX,AMC Javelin '71,1267,1971,AMC,Javelin AMX,Vintage Muscle,Factory,357,D
2002 BMW Z3 M Coupé,BMW Z3 '02,1268,2002,BMW,Z3 M Coupé,Early Sport Compact,Factory,520,B
1973 BMW 2002 Turbo,BMW 2002 '73,1269,1973,BMW,2002 Turbo,Vintage Sport Compact,Factory,298,E
1992 Ford Escort RS Cosworth,Ford Escort '92,1272,1992,Ford,Escort RS Cosworth,Hot Hatch Icons,Factory,421,C
1997 Honda Civic Type R,Honda Civic '97,1273,1997,Honda,Civic Type R,Hot Hatch Icons,Factory,348,D
1971 Plymouth Cuda 426 HEMI,Plymouth Cuda 71,1277,1971,Plymouth,Cuda 426 HEMI,Vintage Muscle,Factory,377,D
1973 Ford XB Falcon GT,Ford Falcon '73,1278,1973,Ford,XB Falcon GT,Vintage Muscle,Factory,337,D
1970 Mercury Cougar Eliminator,Mercury Cougar,1280,1970,Mercury,Cougar Eliminator,Vintage Muscle,Factory,369,D
1955 Porsche 550 Spyder,P. 550 S '55,1281,1955,Porsche,550 Spyder,Sport Coupe Icons,Factory,271,E
1993 Nissan 240SX SE,Nissan 240SX '93,1282,1993,Nissan,240SX SE,Early Sport Compact,Factory,284,E
1986 BMW M635 CSi,,1290,1986,BMW,M635 CSi,Sport Touring Classics,Factory,,D
1970 Chevrolet El Camino Super Sport 454,Chevy El Camino,1291,1970,Chevrolet,El Camino Super Sport 454,Vans & Utility,Factory,544,C
1986 Dodge Shelby Omni GLHS,Dodge Shelby '86,1292,1986,Dodge,Shelby Omni GLHS,Hot Hatch Icons,Factory,306,D
1987 Ford Sierra Cosworth RS500,Ford Sierra '87,1293,1987,Ford,Sierra Cosworth RS500,Sport Touring Classics,Factory,395,D
1990 Mercedes-Benz 190E 2.5-16 Evolution II,MB 190E '90,1296,1990,Mercedes-Benz,190E 2.5-16 Evolution II,Sport Touring Classics,Factory,400,D
1983 Volvo 242 Turbo Evolution,Volvo 242 Turbo,1299,1983,Volvo,242 Turbo Evolution,Classic Rally,Factory,548,C
1964 Chevrolet Impala Super Sport 409,Chevy Impala,1300,1964,Chevrolet,Impala Super Sport 409,Rods and Customs,Factory,544,C
1956 Jaguar D-Type,Jag. D-Type,1301,1956,Jaguar,D-Type,Vintage Le Mans Sportscars,Race,493,C
1977 Ford Escort RS1800,Ford Escort '77,1302,1977,Ford,Escort RS1800,Vintage Sport Compact,Factory,267,E
2005 Dodge SRT-4 ACR,Dodge SRT-4 '05,1306,2005,Dodge,SRT-4 ACR,Early Sport Compact,Factory,429,C
1969 Pontiac GTO Judge,Pontiac GTO '69,1309,1969,Pontiac,GTO Judge,Street Drag Racers,Factory,349,D
1993 McLaren F1,McL. F1 '93,1314,1993,McLaren,F1,Exotic GT Classics,Factory,736,S
2010 Chevrolet #55 Level 5 Motorsports Oreca FLM09,Chev. #55 09,1317,2010,Chevrolet,#55 Level 5 Motorsports Oreca FLM09,Forza P2,Race,915,P
2011 Lamborghini Gallardo LP 570-4 Superleggera,L. Gallardo '11,1322,2011,Lamborghini,Gallardo LP 570-4 Superleggera,Modern Sport GT,Factory,731,S
2011 SUBARU WRX STI ,SUBARU WRX '11,1323,2011,SUBARU,WRX STI ,Modern Sport Compact,Factory,473,C
2011 Alfa Romeo Giulietta Quadrifoglio Verde,AR Giulietta 11,1325,2011,Alfa Romeo,Giulietta Quadrifoglio Verde,Modern Hot Hatch,Factory,387,D
2011 Bugatti Veyron Super Sport,Bugatti Veyron,1328,2011,Bugatti,Veyron Super Sport,Modern Hypercars,Factory,862,R
1987 Buick Regal GNX,Buick GNX '87,1329,1987,Buick,Regal GNX,Sport Touring Classics,Factory,421,C
1970 Chevrolet Camaro Z28,Chev. Camaro '70,1330,1970,Chevrolet,Camaro Z28,Vintage Muscle,Factory,353,D
1971 Plymouth GTX 426 HEMI,Plymouth GTX '71,1331,1971,Plymouth,GTX 426 HEMI,Street Drag Racers,Factory,373,D
1991 Mazda #55 Mazda 787B,Mazda #55 787B,1335,1991,Mazda,#55 Mazda 787B,GTP/C,Race,954,P
1969 Oldsmobile Hurst/Olds 442,Olds 442 '69,1336,1969,Oldsmobile,Hurst/Olds 442,Street Drag Racers,Factory,353,D
1969 Pontiac Firebird Trans Am,Pontiac T/A '69,1337,1969,Pontiac,Firebird Trans Am,Vintage Muscle,Factory,345,D
2011 Peugeot 308 GTI,Peugeot 308 '11,1348,2011,Peugeot,308 GTI,Modern Hot Hatch,Factory,302,D
2011 BMW X5 M,BMW X5 M,1350,2011,BMW,X5 M,Sports Utility Heroes,Factory,666,B
1970 Dodge Coronet Super Bee,Dodge Coronet 70,1352,1970,Dodge,Coronet Super Bee,Street Drag Racers,Factory,398,D
1966 Chevrolet Nova Super Sport,Chevy Nova '66,1354,1966,Chevrolet,Nova Super Sport,Classic Muscle,Factory,582,C
1965 Ford Mustang GT Coupe,Ford Mustang '65,1355,1965,Ford,Mustang GT Coupe,Vintage Muscle,Factory,338,D
2003 BMW M5,,1367,2003,BMW,M5,Sport Touring Classics,Factory,694,B
1988 BMW M5,BMW M5 '88,1368,1988,BMW,M5,Sport Touring Classics,Factory,366,D
2009 Pagani Zonda Cinque Roadster,Pagani Zonda C,1369,2009,Pagani,Zonda Cinque Roadster,Modern Hypercars,Factory,821,R
1995 Audi Avant RS 2,Audi RS2 '95,1370,1995,Audi,Avant RS 2,Sport Touring Classics,Factory,458,C
1930 Bentley 8 Litre,Bentley 8 Litre,1372,1930,Bentley,8 Litre,Rare Classics,Factory,181,D
1996 Chevrolet Impala Super Sport,Chevy Impala '96,1379,1996,Chevrolet,Impala Super Sport,Retro Muscle,Factory,509,C
1981 Volkswagen Scirocco S,VW Scirocco '81,1380,1981,Volkswagen,Scirocco S,Hot Hatch Icons,Factory,222,E
1992 Mitsubishi Galant VR-4,Mit. Galant '92,1381,1992,Mitsubishi,Galant VR-4,Early Sport Compact,Factory,341,D
1990 SUBARU LEGACY RS,SUBARU LEGACY 90,1382,1990,SUBARU,LEGACY RS,Early Sport Compact,Factory,323,D
1998 Volkswagen Gti VR6 Mk3,VW GTI Mk3 '98,1383,1998,Volkswagen,Gti VR6 Mk3,Hot Hatch Icons,Factory,302,D
2011 BMW 1 Series M Coupé,BMW 1M,1385,2011,BMW,1 Series M Coupé,Modern Sport Coupe,Factory,527,B
1958 Aston Martin DBR1,AM DBR1,1386,1958,Aston Martin,DBR1,Vintage Le Mans Sportscars,Factory,518,B
1997 Volvo 850 R,Volvo 850 R '97,1387,1997,Volvo,850 R,Sport Touring Classics,Factory,332,D
2012 BMW M5,BMW M5 '12,1388,2012,BMW,M5,Modern Sport Touring,Factory,626,A
2011 Lamborghini Sesto Elemento,Lambo Sesto,1392,2011,Lamborghini,Sesto Elemento,Modern Sport GT,Race,819,R
1992 Alfa Romeo 155 Q4 ,Alfa Romeo 155,1393,1992,Alfa Romeo,155 Q4 ,Retro Saloons,Factory,561,C
1989 Toyota MR2 SC,Toyota MR2 '89,1395,1989,Toyota,MR2 SC,Early Sport Compact,Factory,296,E
2011 HSV GTS,HSV GTS,1396,2011,HSV,GTS,Modern Sport Touring,Factory,503,B
2010 Mazda #16 Mazda Racing B09/86,Mazda #16 B09/86,1403,2010,Mazda,#16 Mazda Racing B09/86,Forza P2,Race,939,P
2011 Audi RS 5 Coupe,Audi RS 5,1417,2011,Audi,RS 5 Coupe,Super Saloons,Factory,733,A
